,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Defined Pension Benefit,"230,000","208,000","237,000","52,000"
Other Non Current Assets,"660,000","516,000","434,000","491,000"
Total Liabilities Net Minority Interest,"34,533,000","26,652,000","26,365,000","22,563,000"
Current Liabilities,"9,222,000","7,244,000","7,687,000","6,219,000"
Payables And Accrued Expenses,"3,965,000","4,089,000","3,918,000","3,443,000"
Payables,"2,669,000","2,782,000","2,532,000","2,765,000"
Accounts Payable,"2,228,000","2,266,000","1,945,000","2,376,000"
Total Tax Payable,"441,000","516,000","587,000","389,000"
Income Tax Payable,"194,000","243,000","310,000","299,000"
Current Accrued Expenses,"1,296,000","1,307,000","1,386,000","678,000"
Pension & Other Post Retirement Benefit Plans Current,"296,000","304,000","277,000","221,000"
Current Debt And Capital Lease Obligation,"3,042,000","1,211,000","1,853,000","972,000"
Current Debt,"2,795,000","1,211,000","1,853,000","972,000"
Commercial Paper,"150,000",-,-,-
Line of Credit,"800,000",-,-,-
Other Current Borrowings,"1,845,000","1,211,000","1,853,000","972,000"
Current Capital Lease Obligation,"247,000",-,-,-
Current Deferred Liabilities,"430,000","617,000","513,000","551,000"
Current Deferred Revenue,"430,000","617,000","513,000","551,000"
Other Current Liabilities,"1,489,000","1,023,000","1,126,000","1,032,000"
Total Non Current Liabilities Net Minority Interest,"25,311,000","19,408,000","18,678,000","16,344,000"
Long Term Debt And Capital Lease Obligation,"18,236,000","13,486,000","12,156,000","10,723,000"
Long Term Debt,"17,518,000","13,411,000","12,096,000","10,678,000"
Long Term Capital Lease Obligation,"718,000","75,000","60,000","45,000"
Non Current Deferred Liabilities,"301,000","279,000","272,000","160,000"
Non Current Deferred Taxes Liabilities,"301,000","279,000","235,000","145,000"
Non Current Deferred Revenue,-,-,"37,000","15,000"
Tradeand Other Payables Non Current,"1,507,000","1,274,000","1,287,000","244,000"
Employee Benefits,"4,223,000","3,286,000","3,939,000","4,274,000"
Non Current Pension And Other Post-Retirement Benefit Plans,"3,911,000","2,987,000","3,620,000","4,018,000"
Other Non Current Liabilities,"1,044,000","1,083,000","1,024,000","943,000"
Total Equity Gross Minority Interest,"10,126,000","9,848,000","11,622,000","10,343,000"
Stockholders' Equity,"10,063,000","9,796,000","11,563,000","10,298,000"
Capital Stock,"9,000","9,000","9,000","9,000"
Common Stock,"9,000","9,000","9,000","9,000"
Additional Paid in Capital,"5,907,000","5,643,000","5,352,000","5,061,000"
Retained Earnings,"42,135,000","40,636,000","39,115,000","37,907,000"
Treasury Stock,"29,849,000","29,626,000","25,887,000","25,434,000"
Gains Losses Not Affecting Retained Earnings,"-8,139,000","-6,866,000","-7,026,000","-7,245,000"
Minority Interest,"63,000","52,000","59,000","45,000"
Total Capitalization,"27,581,000","23,207,000","23,659,000","20,976,000"
Common Stock Equity,"10,063,000","9,796,000","11,563,000","10,298,000"
Capital Lease Obligations,"965,000","75,000","60,000","45,000"
Net Tangible Assets,"-9,760,000","-2,912,000","-1,886,000","-1,188,000"
Working Capital,"3,749,000","6,465,000","6,590,000","5,507,000"
Invested Capital,"30,376,000","24,418,000","25,512,000","21,948,000"
Tangible Book Value,"-9,760,000","-2,912,000","-1,886,000","-1,188,000"
Total Debt,"21,278,000","14,697,000","14,009,000","11,695,000"
Net Debt,"17,960,000","11,769,000","10,896,000","9,252,000"
Share Issued,"944,033","944,033","944,033","939,293"
Ordinary Shares Number,"575,185","576,575","594,884","596,726"
Treasury Shares Number,"368,848","367,458","349,149","342,567"
