,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Equity Gross Minority Interest,"187,984,000","197,066,000","208,079,000","200,497,000"
Stockholders' Equity,"187,146,000","196,166,000","206,936,000","199,581,000"
Capital Stock,"30,685,000","32,350,000","34,494,000","33,687,000"
Preferred Stock,"21,549,000","23,214,000","25,358,000","24,551,000"
Common Stock,"9,136,000","9,136,000","9,136,000","9,136,000"
Retained Earnings,"166,697,000","158,163,000","145,263,000","133,075,000"
Additional Paid in Capital,"61,049,000","60,685,000","60,893,000","60,234,000"
Treasury Stock,"68,831,000","47,194,000","29,892,000","22,713,000"
Gains Losses Not Affecting Retained Earnings,"-1,311,000","-6,336,000","-2,144,000","-3,137,000"
Other Equity Interest,"-1,143,000","-1,502,000","-1,678,000","-1,565,000"
Minority Interest,"838,000","900,000","1,143,000","916,000"
Total Capitalization,"415,305,000","425,174,000","431,917,000","454,651,000"
Preferred Stock Equity,"21,549,000","23,214,000","25,358,000","24,551,000"
Common Stock Equity,"165,597,000","172,952,000","181,578,000","175,030,000"
Capital Lease Obligations,"32,000","36,000","39,000","7,000"
Net Tangible Assets,"147,386,000","153,111,000","163,690,000","155,814,000"
Invested Capital,"405,865,000","415,317,000","421,131,000","448,757,000"
Tangible Book Value,"125,837,000","129,897,000","138,332,000","131,263,000"
Total Debt,"240,300,000","242,401,000","239,592,000","273,734,000"
Net Debt,"99,018,000","69,078,000","216,186,000","252,998,000"
Share Issued,"5,481,811","5,481,811","5,481,811","5,481,811"
Ordinary Shares Number,"4,134,426","4,581,254","4,891,617","5,016,109"
Preferred Shares Number,"373,265","373,322","375,415","348,015"
Treasury Shares Number,"1,347,386","900,558","590,195","465,702"
