,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Other Non Current Liabilities,"3,364,000","3,880,000","3,990,000","3,979,000"
Total Equity Gross Minority Interest,"33,230,000","35,966,000","34,918,000","29,187,000"
Stockholders' Equity,"33,185,000","35,932,000","34,890,000","29,170,000"
Capital Stock,"41,000","41,000","41,000","41,000"
Common Stock,"41,000","41,000","41,000","41,000"
Additional Paid in Capital,"22,165,000","22,006,000","21,843,000","21,630,000"
Retained Earnings,"20,320,000","22,668,000","21,218,000","15,634,000"
Treasury Stock,"1,613,000","1,417,000","1,253,000","1,122,000"
Gains Losses Not Affecting Retained Earnings,"-7,728,000","-7,366,000","-6,959,000","-7,013,000"
Minority Interest,"45,000","34,000","28,000","17,000"
Total Capitalization,"134,546,000","136,652,000","137,556,000","122,471,000"
Common Stock Equity,"33,185,000","35,932,000","34,890,000","29,170,000"
Capital Lease Obligations,"1,414,000",-,-,-
Net Tangible Assets,"32,719,000","35,490,000","34,890,000","29,170,000"
Working Capital,"15,915,000","19,080,000","21,302,000","18,180,000"
Invested Capital,"188,492,000","190,145,000","189,177,000","172,140,000"
Tangible Book Value,"32,719,000","35,490,000","34,890,000","29,170,000"
Total Debt,"156,721,000","154,213,000","154,287,000","142,970,000"
Net Debt,"137,803,000","137,495,000","135,795,000","127,065,000"
Share Issued,"3,964,929","4,071,000","4,174,000","4,163,000"
Ordinary Shares Number,"3,964,929","4,071,000","4,058,000","4,047,000"
Treasury Shares Number,-,-,"116,000","116,000"
